Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g010.8411,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g012.9090,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g014.9958,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g251.2337,A,2.00E-05,02:43.0,0.0214,-34:31:49.11530,0.0511,0.000564,2.30E-05,<0.97,-,<0.41,-,-,-
g254.0491,A,2.33E-05,15:57.1,0.0396,-36:08:06.90400,0.0849,0.000344,3.10E-05,1.218,0.078,0.417,0.17,3,3
g254.0548,C,2.09E-05,17:52.6,0.0292,-35:52:47.62830,0.0673,0.000365,9.05E-05,-,-,-,-,-,-
g254.0548,W,2.09E-05,17:52.3,0.1295,-35:52:50.95960,0.2983,4.00E-05,9.20E-06,-,-,-,-,-,-
g263.2283,A,1.72E-05,53:09.5,0.0159,-42:13:07.84880,0.0286,0.000584,1.80E-05,0.683,1.162,0.171,0.841,167,16
g263.7434,N,2.25E-05,48:48.5,0.0265,-43:32:24.00860,0.0417,0.000562,4.60E-05,1.23,0.26,0.36,0.24,173.3,9.9
g263.7434,S,2.25E-05,48:48.7,0.0227,-43:32:28.69640,0.0358,0.000869,5.60E-05,1.92,0.2,0.5,0.15,4.7,4.2
g263.7759,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g263.7759,NW,-,-,-,-,-,-,-,-,-,-,-,-,-
g265.1438,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g268.3957,,-,-,-,-,-,-,-,-,-,-,-,-,-
g269.1835,,3.50E-05,-,-,-,-,<10.5e-5,-,-,-,-,-,-,-
g274.0649,A,2.98E-04,,,,,0.0661,0.00166,9.4,,5.2,,,
g274.0649,B,2.98E-04,,,,,0.0442,0.00325,5.2,,3.5,,,
g274.0649,C,2.98E-04,,,,,0.0449,0.00359,5.1,,4.5,,,
g274.0649,Core,2.98E-04,-,-,-,-,-,-,-,-,-,-,-,-
g282.2988,,-,-,-,-,-,-,-,-,-,-,-,-,-
g283.9146,,-,-,-,-,-,-,-,-,-,-,-,-,-
g284.2438,A,3.69E-05,20:35.2,0.119,-58:25:07.53570,0.0654,0.00128,9.20E-05,2.54,0.22,1.36,0.66,100,169
g284.2438,E,3.69E-05,-,-,-,-,<1.11e-4,-,-,-,-,-,-,-
g286.2086,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g286.2086,B,-,-,-,-,-,-,-,-,-,-,-,-,-
g286.2086,B2,-,-,-,-,-,-,-,-,-,-,-,-,-
g287.3716,A,2.58E-05,,,,,0.00326,0.00038,6,-,4.7,-,-,-
g287.8893,,4.50E-04,-,-,-,-,<1.35e-4,-,-,-,-,-,-,-
g298.2620,A,1.61E-05,11:47.7,0.0798,-61:46:20.9784,0.052,0.000207,3.10E-05,-,-,-,-,-,-
g300.9674,N,-,,,,,-,-,-,-,-,-,-,-
g300.9674,S,-,-,-,-,-,-,-,-,-,-,-,-,-
g301.1364,S,-,-,-,-,-,-,-,-,-,-,-,-,-
g301.1364,N,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.1940,,1.04E-04,-,-,-,-,<3.12e-4,-,-,-,-,-,-,-
g305.2017,E,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.2017,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.2017,W,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.5610,Core,5.76E-05,-,-,-,-,-,-,-,-,-,-,-,-
g305.5610,A,5.76E-05,,,,,0.0531,0.00144,9.5,,8.6,,,
g308.9176,A,-,,,,,-,-,-,-,-,-,-,-
g310.0135,N,1.58E-05,51:37.8,0.019,-61:39:06.34300,0.048,0.000821,6.56E-05,-,-,-,-,-,-
g310.0135,S,1.58E-05,51:37.9,0.053,-61:39:07.79600,0.076,0.000417,7.94E-05,<0.46,-,<0.18,-,-,-
g310.1420,A1,1.84E-05,51:58.4,-,-61:15:41.22200,-,0.00137,0.000109,0.729,0.1458,0.132,0.0264,86.1,17.22
g310.1420,A2,1.84E-05,51:58.3,-,-61:15:41.36600,-,0.00197,0.000211,0.855,0.171,0.379,0.0758,85.4,17.08
g310.1420,A3,1.84E-05,51:58.2,-,-61:15:41.83200,-,0.0014,0.000104,0.936,0.1872,0.28,0.056,80.6,16.12
g310.1420,A4,1.84E-05,51:58.0,-,-61:15:42.26200,-,0.000932,0.000121,1.096,0.2192,0.589,0.1178,83.4,16.68
g310.1420,B,1.84E-05,51:58.7,-,-61:15:40.57700,-,0.00039,3.51E-05,1.704,0.3408,0.267,0.0534,-85.2,17.04
g310.1420,C,1.84E-05,51:59.1,-,-61:15:40.02100,-,0.00105,0.000557,1.379,0.2758,0.752,0.1504,60.4,12.08
g310.1420,D,1.84E-05,51:59.6,-,-61:15:40.00300,-,0.00193,0.000667,1.382,0.2764,1.05,0.21,-76.7,15.34
g310.1420,E,1.84E-05,51:57.6,-,-61:15:47.85300,-,9.30E-05,2.00E-05,1.601,0.3202,0.999,0.1998,-54.8,10.96
g313.7654,A1,1.64E-05,25:01.6,0.0156,-61:44:57.77490,0.0187,0.000585,1.60E-05,0.473,0.139,0.398,0.274,106,159
g313.7654,A2,1.64E-05,25:01.8,0.1117,-61:44:58.95590,0.1341,0.00014,2.80E-05,1.78,0.23,0.42,0.26,168.8,5.1
g313.7654,B1,1.64E-05,25:01.1,0.0607,-61:44:55.92730,0.073,0.000279,3.00E-05,1.52,0.2,0.8,0.35,128,13
g313.7654,B2,1.64E-05,25:01.2,0.08,-61:44:57.92500,0.0961,0.00012,1.70E-05,<1.01,-,<0.71,-,-,-
